name,address,city,state,zip,phone,org,lon,lat
CMC 747 Channel,747 Channel St,Stockton,CA,95202,(209) 944-4700,cmcenters,-121.2816457,37.9564801
CMC California Street Pediatrics,2349 N. California St,Stockton,CA,95204,(209) 469-2229,cmcenters,-121.2913879,37.9753178
CMC Channel,701 E. Channel St,Stockton,CA,95202,(209) 944-4700,cmcenters,-121.2822533,37.9562867
CMC Dixon,131 W. A St,Dixon,CA,95620,(707) 635-1600,cmcenters,-121.8219024,38.4456835
CMC Dorothy L. Jones,2044 Fair St,Stockton,CA,95206,(209) 944-4700,cmcenters,-121.2645833,37.9338375
CMC E. March Lane – CareToday,1801 E. March Ln,Stockton,CA,95210,(209) 507-7027,cmcenters,-121.2868659,38.00339390000001
CMC E. March Lane – Primary Care,1801 E. March Lane #D470,Stockton,CA,95210,(209) 469-2229,cmcenters,-121.2859869,38.0036277
CMC East Main,2524 E. Main St,Stockton,CA,95205,(209) 466-6871,cmcenters,-121.2514838,37.9544488
CMC Gleason House,423 S. San Joaquin St,Stockton,CA,95203,(209) 954-7700,cmcenters,-121.2863247,37.9487805
CMC Lawrence,721 Calaveras St,Lodi,CA,95240,(209) 331-8019,cmcenters,-121.2661908,38.1430358
CMC Lodi East,1150 S. Cherokee Ln,Lodi,CA,95240,(209) 370-1700,cmcenters,-121.2595911,38.1189047
CMC Lodi Turner,2401 W. Turner Rd #450,Lodi,CA,95242,(209) 370-1700,cmcenters,-121.3056978,38.1461035
CMC Lodi Vine Family Care,2415 W. Vine St,Lodi,CA,95242,(209) 333-3121,cmcenters,-121.3049703,38.1235052
CMC Lodi Vine Pediatrics,2415 W. Vine St,Lodi,CA,95242,(209) 333-3135,cmcenters,-121.3049703,38.1235052
CMC Manteca,200 Cottage Ave,Manteca,CA,95336,(209) 624-5800,cmcenters,-121.1979643,37.7995825
CMC Mariposa,2015 E. Mariposa Rd,Stockton,CA,95205,(209) 751-1900,cmcenters,-121.2449754,37.9387494
CMC Respite Center (Medical),201 N. Stanislaus St #101,Stockton,CA,95202,(209) 762-5000,cmcenters,-121.2830106,37.956133
CMC St. Mary’s,545 W. Sonora St Bldg #1,Stockton,CA,95203,(209) 337-3298,cmcenters,-121.2972304,37.9474984
CMC Sutter Street,1800 S. Sutter St Bldg 11B,Stockton,CA,95206,(209) 944-4700,cmcenters,-121.2801162,37.9338871
CMC TUSD Student Wellness Center,"164 W. Grant Line Road Bldg 001, Portable Office/Room 8",Tracy,CA,95376,(209) 469-2229,cmcenters,-121.4275381,37.7535534
CMC Tracy Central,730 N. Central Ave,Tracy,CA,95376,(209) 650-4000,cmcenters,-121.4255067,37.7361001
CMC Tracy Dental,2135 N. Tracy Blvd,Tracy,CA,95376,(209) 636-5555,cmcenters,-121.4362737,37.7516808
CMC Tracy Grant Line,2151 W. Grant Line Rd,Tracy,CA,95377,(209) 820-1500,cmcenters,-121.4556343,37.7546289
CMC Vacaville,600 Nut Tree Rd #310,Vacaville,CA,95687,(707) 359-1800,cmcenters,-121.9490158,38.36140169999999
CMC Vacaville Dental,600 Nut Tree Rd #120,Vacaville,CA,95687,(209) 636-5555,cmcenters,-121.9492222,38.361371
CMC Vacaville Pediatrics,600 Nut Tree Road #210,Vacaville,CA,95687,(707) 359-1800,cmcenters,-121.9491656,38.3614184
CMC Waterloo,1031 Waterloo Rd,Stockton,CA,95205,(209) 940-5600,cmcenters,-121.2727497,37.9674989
CMC Weberstown Dental,83 W. March Ln #2,Stockton,CA,95207,(209) 636-5555,cmcenters,-121.3077458,37.9959243
CMC Weberstown Medical,87 W. March Ln,Stockton,CA,95207,(209) 636-5555,cmcenters,-121.3079482,37.9950804
CMC West Lane,7912 West Ln #221,Stockton,CA,95210,(209) 636-5000,cmcenters,-121.2925293,38.0219579
Clovis Community Medical Center,2755 Herndon Avenue,Clovis,CA,93611,(559) 324-4000,community_medical_centers,-119.6611827,36.8388469
Community Behavioral Health Center,7171 N. Cedar Avenue,Fresno,CA,93720,(559) 449-8000,community_medical_centers,-119.7568442,36.8407999
Community Regional Medical Center,2823 Fresno Street,Fresno,CA,93721,(559) 459-6000,community_medical_centers,-119.7842303,36.7429513
"Delta College Health Center, Locke Center Room 126",5151 Pacific Ave,Stockton,CA,95207,(209) 636-5000,cmcenters,-121.3192899,37.9950829
Fresno Heart & Surgical Hospital,15 E. Audubon Drive,Fresno,CA,93720,(559) 433-8000,community_medical_centers,-119.7883713,36.859685
